,mean,mean_se,mean_ci_lower,mean_ci_upper,obs_ci_lower,obs_ci_upper
0,72.03962905988888,36.52555908055079,-4.697723044563617,148.77698116434138,-277.4624658519024,421.5417239716802
1,79.43806344031626,60.03349498757802,-46.68762933178161,205.56375621241412,-284.1149361580499,442.99106303868246
2,81.07621171847167,69.54642965861603,-65.03541517138235,227.1878386083257,-289.8842991881853,452.0367226251286
3,73.28162383286946,36.57953588293165,-3.569129325366717,150.13237699110562,-276.2453871415561,422.808634807295
4,68.52349903017492,46.347244392722644,-28.84844821893033,165.89544627928018,-286.08105431172817,423.12805237207806
5,66.61125535384448,55.701763611586074,-50.4138074980286,183.63631820571757,-293.8855663730785,427.10807708076754
6,86.36539635513031,103.07185260575848,-130.1805305127753,302.91132322303594,-317.5593882060654,490.29018091632605
7,67.446389770159,51.39466059343605,-40.529785421294335,175.42256496161235,-290.2153883788396,425.10816791915755
8,67.64981994849202,50.39314597436439,-38.22225110613013,173.52189100311418,-289.38237547528627,424.68201537227026
9,69.42715729603319,42.69012270536404,-20.261462396257173,159.11577698832355,-283.14502204039195,421.9993366324584
10,73.87406962252108,37.33021982985428,-4.553811985059923,152.30195123010208,-276.00308846754456,423.7512277125867
11,67.51598430485188,51.049749060919034,-39.73555864600317,174.76752725570694,-289.9276988188916,424.95966742859537
12,70.88757183943449,38.2946885575935,-9.566583375377007,151.34172705424598,-279.4493577455823,421.22450142445126
13,69.99462042506742,40.73255945018704,-15.581311479255731,155.57055232939058,-281.553858822136,421.54309967227084
14,68.10486113686854,48.23088937962473,-33.2244773812087,169.43419965494576,-287.60671863561953,423.8164409093566
15,75.01078034870017,39.96171369016442,-8.945664708765179,158.9672254061655,-276.1469873375853,426.16854803498563
16,74.63068712076215,38.919717780640966,-7.136605764544441,156.39798000606874,-276.01013099019247,425.2715052317168
17,77.23887614402135,48.6350439038909,-24.9395595217498,179.4173118097925,-278.7155111794561,433.19326346749875
18,68.4678234024206,46.59144996176858,-29.41718070904284,166.35282751388405,-286.2779548242262,423.2136016290674
19,74.98401321997213,39.88337752953605,-8.807853671081205,158.77588011102546,-276.13444271308765,426.10246915303196
